disease,icd,count
osteoporosis,"['M81.6', 'Z82.62', 'Z13.820', 'M81.8', 'Z87.310', 'M81.0', 'M80.80XS']",54
attention deficit hyperactivity disorder,"['F90.2', 'F90.8', 'F90.9', 'F90.0', 'F90.1']",54
migraine,"['G43.B1', 'G43.D1', 'G43.B0', 'G43.D0', 'G43.A1', 'G43.411', 'G43.419']",54
anemia,"['D53.2', 'D64.9', 'D46.4', 'D53.0', 'D53.9', 'D61.3', 'D61.9']",53
melanoma,"['C43.0', 'C43.31', 'D03.9', 'C43.51', 'C43.9', 'D03.0', 'C43.4']",53
"depressive disorder, major","['F33.0', 'F33.1', 'F33.9', 'F32.0', 'F32.1', 'F32.9', 'F33.40']",53
diabetes mellitus,"['P70.2', 'O24.92', 'Z83.3', 'E10.65', 'E10.9', 'E11.65', 'E11.9']",51
chronic kidney disease,"['I12.9', 'N18.9', 'I12.0', 'D63.1', 'N18.1', 'N18.5', 'I13.0']",51
atrial fibrillation,"['I48.0', 'I48.21', 'I48.91', 'I48.11', 'I48.19', 'I48.20']",50
head and neck cancer,"['C76.0', 'C47.0', 'C49.0', 'C77.0', 'D17.0', 'D21.0', 'D36.11']",49
cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",49
parkinson's disease,"['G20.A2', 'G20.B2', 'G20.A1', 'G20.B1']",49
smoking cessation,"['Y36.881S', 'Y36.891S', 'Y36.880S', 'Y36.881A', 'Y36.881D', 'Y36.890S', 'Y36.891A']",47
plaque psoriasis,"['L40.0', 'L40.4', 'L40.8', 'L40.9', 'L40.1', 'L40.50']",47
postoperative pain,None,47
pancreatic cancer,['C25.3'],46
"hepatitis c, chronic","['B18.2', 'B18.0', 'B18.1', 'B18.8', 'B18.9', 'K71.3', 'K71.4']",46
crohn's disease,"['K50.90', 'K50.913', 'K50.914', 'K50.911', 'K50.912', 'K50.918', 'K50.919']",45
chronic obstructive pulmonary disease,"['J44.9', 'J44.89', 'J44.1', 'J44.0']",45
hiv,"['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",44
acne vulgaris,['L70.0'],44
"arthritis, rheumatoid","['M06.9', 'M05.9', 'M06.08', 'M06.00', 'M06.011', 'M06.012', 'M06.019']",43
metastatic breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",43
osteoarthritis,"['M15.4', 'M15.0', 'M16.9', 'M17.9', 'M19.011', 'M19.012', 'M19.019']",42
hiv-1 infection,"['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",42
healthy volunteers,None,41
myelodysplastic syndromes,"['D46.9', 'D46.C', 'D46.Z']",40
breast neoplasms,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",40
parkinson disease,"['G20.A2', 'G20.B2', 'G20.A1', 'G20.B1']",40
epilepsy,"['G40.803', 'G40.804', 'G40.911', 'G40.919', 'G40.B11', 'G40.B19', 'G40.801']",40
"diabetes mellitus, type 1","['E10.65', 'E10.9', 'E10.21', 'E10.36', 'E10.41', 'E10.42', 'E10.44']",40
hepatitis c,"['B18.2', 'B17.10', 'B17.11', 'B19.20', 'B19.21', 'B15.0', 'B15.9']",39
"pain, postoperative",None,39
ocular hypertension,"['H40.053', 'H40.051', 'H40.052', 'H40.059']",39
gastric cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",37
stroke,"['G46.4', 'G46.3', 'Z82.3']",37
fibromyalgia,['M79.7'],37
"carcinoma, non-small-cell lung","['D02.20', 'D02.21', 'D02.22']",37
chronic lymphocytic leukemia,"['C91.11', 'C91.12', 'C91.10']",36
copd,None,35
psoriatic arthritis,['L40.52'],35
type 1 diabetes mellitus,"['E10.65', 'E10.9', 'E10.21', 'E10.36', 'E10.41', 'E10.42', 'E10.44']",35
alzheimer disease,"['G30.8', 'G30.9', 'G30.0', 'G30.1']",34
acute myeloid leukemia,"['C92.A1', 'C92.A2', 'C92.61', 'C92.62', 'C92.A0', 'C92.60']",34
alcohol dependence,"['F10.20', 'F10.24', 'F10.27', 'F10.280', 'F10.281', 'F10.282', 'F10.288']",33
seasonal allergic rhinitis,['J30.2'],33
overactive bladder,['N32.81'],33
non small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",32
schizoaffective disorder,"['F25.9', 'F25.0', 'F25.1', 'F25.8']",32
pulmonary arterial hypertension,['I27.21'],32
kidney transplantation,"['N26.2', 'Q63.0', 'Q63.2', 'Z52.4', 'I75.81', 'N19', 'N20.0']",31
cardiovascular disease,"['A52.00', 'A52.09', 'A50.54', 'Z01.810', 'Q87.418', 'Z13.6', 'R94.30']",31
non-hodgkin's lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",31
systemic lupus erythematosus,"['M32.9', 'M32.0', 'M32.11', 'M32.12', 'M32.13', 'M32.14', 'M32.8']",31
infertility,"['N46.8', 'N46.9', 'N97.9', 'N97.0', 'N97.1', 'N97.2', 'N97.8']",31
actinic keratosis,['L57.0'],31
cardiovascular diseases,"['A52.00', 'A52.09', 'A50.54', 'Z01.810', 'Q87.418', 'Z13.6', 'R94.30']",30
nicotine dependence,"['F17.200', 'F17.210', 'F17.208', 'F17.209', 'F17.218', 'F17.219', 'F17.228']",30
influenza,"['J11.81', 'J11.82', 'J10.01', 'J10.81', 'J10.82', 'J11.08', 'J11.2']",30
sickle cell disease,"['D57.1', 'D57.20', 'D57.214', 'D57.212', 'D57.219', 'D57.211', 'D57.213']",30
overweight,['E66.3'],30
bladder cancer,"['D30.3', 'C67.5', 'C67.9', 'C79.11', 'C67.0', 'C67.1', 'D41.4']",29
hiv infection,['Z21'],29
alcoholism,['Z63.72'],29
pulmonary hypertension,"['I27.0', 'I27.20', 'I27.21', 'I27.24', 'I27.29', 'P29.30', 'I27.22']",29
insomnia,"['F51.01', 'F51.02', 'F51.03', 'F51.04', 'G47.00', 'G47.09', 'A81.83']",29
inflammation,"['H01.9', 'H30.93', 'H05.00', 'H30.003', 'H30.013', 'H30.033', 'H30.103']",29
hepatocellular carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",29
brain and central nervous system tumors,None,28
"unspecified adult solid tumor, protocol specific","['H01.009', 'H02.209', 'H02.009', 'H02.109', 'H04.209', 'H05.409', 'H10.509']",28
prostatic neoplasms,"['B38.81', 'N42.31', 'Z87.430', 'N40.0', 'N40.1']",28
adhd,None,28
myelodysplastic syndrome,"['D46.9', 'D46.C', 'D46.Z']",28
esophageal cancer,"['K22.2', 'K22.81', 'Q39.4', 'P78.83', 'I85.00', 'I85.01', 'I85.10']",27
fallopian tube cancer,"['C57.00', 'C57.01', 'C57.02']",27
cocaine dependence,"['F14.20', 'F14.24', 'F14.280', 'F14.281', 'F14.282', 'F14.288', 'F14.29']",27
idiopathic pulmonary fibrosis,['J84.112'],27
metastatic colorectal cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",27
atherosclerosis,"['I67.2', 'I70.90', 'I70.91', 'I70.0', 'I70.1', 'I70.8', 'I25.83']",26
sarcoma,"['C96.A', 'C46.9', 'C96.22', 'C46.0', 'C46.2', 'C92.31', 'C92.32']",26
amyotrophic lateral sclerosis,['G12.21'],26
smoking,"['O99.334', 'O99.335', 'Y93.G2', 'O99.330', 'O99.331', 'O99.332', 'O99.333']",26
"osteoarthritis, knee","['M17.9', 'M17.0', 'M17.10', 'M17.11', 'M17.12', 'M17.2', 'M17.30']",26
chronic obstructive pulmonary disease (copd),"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",26
dyslipidemia,None,26
hot flashes,None,25
diabetic macular edema,"['E10.311', 'E10.319', 'E11.311', 'E11.319', 'E13.311', 'E13.319', 'E10.3513']",25
constipation,"['K59.00', 'K59.09', 'K59.01', 'K59.02', 'K59.03', 'K59.04', 'K58.1']",25
acute coronary syndrome,"['I24.81', 'I24.0']",25
cervical cancer,"['M50.20', 'M50.21', 'M50.30', 'M50.31', 'M50.80', 'M50.81', 'M50.90']",24
insulin resistance,"['E88.818', 'E88.819', 'E88.811', 'E34.322']",24
metastatic cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",24
venous thromboembolism,"['O88.22', 'O88.23', 'O88.211', 'O88.212', 'O88.213', 'O88.219']",24
myocardial infarction,"['I25.2', 'I21.9', 'I21.A1', 'I21.A9', 'I21.4', 'I21.B', 'I22.2']",23
polycystic ovary syndrome,"['E28.2', 'Q61.3', 'Q61.2', 'Q61.19', 'Z82.71']",23
contraception,"['Z92.0', 'Z30.012', 'Z30.09']",23
chronic pain,"['G89.29', 'G89.4', 'R39.82', 'G89.22', 'G89.28', 'G89.21', 'G89.3']",23
low back pain,"['M54.50', 'M54.51', 'M54.59']",23
dry eye,"['H04.121', 'H04.122', 'H04.123', 'H04.129', 'H35.3111', 'H35.3112', 'H35.3121']",23
multiple myeloma and plasma cell neoplasm,"['C96.20', 'C96.29', 'D47.09']",22
chronic hepatitis b,"['B18.0', 'B18.1', 'B18.2', 'B18.8', 'B18.9']",22
"dermatitis, atopic","['L20.89', 'L20.9']",22
renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",22
small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",22
covid19,"['U07.1', 'Z28.310', 'Z28.311', 'Z86.16', 'U09.9', 'Z11.52', 'Z20.822']",22
erectile dysfunction,"['N52.2', 'N52.8', 'N52.9', 'N52.02', 'N52.31', 'N52.32', 'N52.33']",21
hyperlipidemia,"['E78.2', 'E78.49', 'E78.5']",21
hypertriglyceridemia,None,21
allergic rhinitis,"['J30.89', 'J30.9', 'J30.2', 'J30.1', 'J30.5', 'J30.81']",21
osteoarthritis of the knee,"['M15.4', 'M15.0', 'M16.9', 'M17.9', 'M19.011', 'M19.012', 'M19.019']",21
acute pain,"['G89.12', 'G89.18', 'G89.11', 'G89.3']",21
psoriasis vulgaris,['L40.0'],21
stage iv breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",20
"rhinitis, allergic, perennial","['J30.0', 'J31.0', 'J30.89', 'J30.9', 'A50.05', 'J30.2', 'J30.1']",20
glaucoma,"['H40.9', 'Q15.0', 'B73.02', 'H40.823', 'H40.89', 'H44.513', 'H40.821']",20
colon cancer,"['C18.2', 'C18.4', 'C18.6', 'C18.7', 'C18.9', 'D12.2', 'D12.3']",19
neuroblastoma,None,19
tobacco use disorder,"['Z72.0', 'P04.2']",19
postmenopausal osteoporosis,"['N95.0', 'N95.2']",19
colorectal neoplasms,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",19
type 1 diabetes,"['E10.65', 'E10.9', 'E10.21', 'E10.36', 'E10.41', 'E10.42', 'E10.44']",19
generalized anxiety disorder,['F41.1'],19
benign prostatic hyperplasia,"['N40.0', 'N40.1']",19
acute lymphoblastic leukemia,"['C91.01', 'C91.02', 'C91.00']",19
glioblastoma,None,19
stage iv non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",18
graft versus host disease,"['D89.810', 'D89.811', 'D89.813', 'D89.812']",18
fatigue,"['R53.83', 'G93.31', 'R53.82', 'R53.0', 'T67.6XXS', 'G93.32', 'T67.6XXA']",18
"carcinoma, renal cell","['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",18
stage iiia breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",18
"carcinoma, hepatocellular","['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",18
menopause,"['E28.310', 'E28.319']",18
traumatic brain injury,"['Z87.820', 'Z13.850', 'S06.2X0S', 'S06.2X0A', 'S06.2X0D', 'S06.300S', 'S06.2XAS']",18
bipolar depression,"['F32.A', 'F53.0', 'P91.4', 'Z13.31', 'Z13.32']",18
metastatic melanoma,"['C43.0', 'C43.31', 'D03.9', 'C43.51', 'C43.9', 'D03.0', 'C43.4']",18
kidney cancer,"['D17.71', 'D30.00', 'D30.01', 'D30.02', 'D41.00', 'D41.01', 'D41.02']",17
heart diseases,"['I11.0', 'I11.9', 'I27.1', 'I51.9', 'I09.9', 'I27.9', 'I01.8']",17
gout,"['M10.9', 'M10.08', 'M10.00', 'M10.011', 'M10.012', 'M10.019', 'M10.021']",17
end stage renal disease,"['N18.6', 'I12.0', 'I13.11', 'I13.2']",17
ankylosing spondylitis,"['M08.1', 'M45.6', 'M45.2', 'M45.3', 'M45.4', 'M45.5', 'M45.7']",17
depressive disorder,"['F25.1', 'F33.0', 'F33.1', 'F33.9', 'F32.0', 'F32.1', 'F32.9']",17
neoplasms,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",17
irritable bowel syndrome,"['K58.2', 'K58.8', 'K58.0', 'K58.1', 'K58.9']",17
macular edema,"['H59.033', 'H34.8130', 'H59.031', 'H59.032', 'H59.039', 'H34.8110', 'H34.8120']",17
"leukemia, myeloid, acute","['C92.A1', 'C92.A2', 'C92.61', 'C92.62', 'C92.A0', 'C92.60']",17
liver cancer,"['D13.4', 'Z85.05', 'C22.8', 'C78.7', 'C22.9', 'D37.6']",16
thrombocytopenia,"['D69.6', 'D69.49', 'D69.59', 'P61.0', 'D75.829', 'D69.42', 'D75.821']",16
obstructive sleep apnea,"['G47.33', 'P28.32']",16
sepsis,"['A02.1', 'A22.7', 'A26.7', 'A32.7', 'A42.7', 'A54.86', 'B37.7']",16
stage iiib breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",16
gastroesophageal reflux disease,"['K21.9', 'K21.00', 'K21.01']",16
nonalcoholic steatohepatitis,['K75.81'],16
postoperative nausea and vomiting,"['R11.10', 'R11.12', 'R11.14', 'R11.11', 'K91.0', 'O21.2', 'O21.8']",16
dental plaque,None,16
coronary disease,"['I25.10', 'I25.110', 'I25.112', 'I25.119', 'I25.111', 'I25.118']",15
chronic hepatitis c,"['B18.2', 'B18.0', 'B18.1', 'B18.8', 'B18.9', 'K71.3', 'K71.4']",15
secondary hyperparathyroidism,"['E21.1', 'N25.81']",15
stage iv prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",15
opioid dependence,"['F11.20', 'F11.24', 'F11.281', 'F11.282', 'F11.288', 'F11.29', 'F11.21']",15
macular degeneration,"['H35.30', 'H35.353', 'H35.351', 'H35.352', 'H35.359', 'H35.3130', 'H35.3230']",15
lupus nephritis,"['B26.83', 'A51.44', 'N11.8', 'N11.9', 'N12']",15
metabolic syndrome,['E88.810'],15
restless legs syndrome,['G25.81'],15
nausea,"['R11.0', 'R11.11', 'R11.2']",15
essential hypertension,"['I10', 'O10.02', 'O10.03', 'O10.011', 'O10.012', 'O10.013', 'O10.019']",15
endometriosis,"['N80.8', 'N80.9', 'N80.B1', 'N80.B2', 'N80.50', 'N80.6', 'N80.A1']",15
prostate adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",15
small lymphocytic lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",15
uterine fibroids,None,15
dementia,"['F01.A11', 'F01.A4', 'F01.B11', 'F01.B4', 'F01.C11', 'F01.C4', 'F03.A11']",14
"rhinitis, allergic, seasonal",['J30.2'],14
"neoplasms, breast","['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",14
recurrent breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",14
stage iiic breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",14
stage ii breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",14
attention deficit disorder with hyperactivity,"['F90.2', 'F90.8', 'F90.9', 'F90.0', 'F90.1']",14
non-alcoholic fatty liver disease,"['Z52.6', 'K71.8', 'K71.7', 'A06.4', 'C22.0', 'C22.3', 'K70.0']",14
malaria,"['B54', 'B53.0', 'P37.3', 'P37.4', 'B50.9', 'Z86.13', 'B51.9']",14
pregnancy,"['O00.00', 'O00.01', 'O00.101', 'O00.102', 'O00.109', 'O00.111', 'O00.112']",14
rosacea,"['L71.8', 'L71.9', 'H10.823', 'H10.821', 'H10.822', 'H10.829']",14
vomiting,"['R11.10', 'R11.12', 'R11.14', 'R11.11', 'K91.0', 'O21.2', 'O21.8']",14
colorectal carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",14
hyperglycemia,"['R73.9', 'E10.65', 'E11.65', 'E13.65', 'E08.65', 'E09.65']",14
open angle glaucoma,"['H40.10X0', 'H40.10X1', 'H40.10X2', 'H40.10X3', 'H40.10X4', 'H40.1130', 'H40.1131']",14
hepatitis c virus infection,"['B00.81', 'B25.1', 'B26.81', 'B58.1', 'K75.4', 'A51.45', 'B17.2']",14
chronic myeloproliferative disorders,['D47.1'],13
tuberculosis,"['A18.39', 'P37.0', 'Z22.7', 'A15.0', 'A15.7', 'A15.8', 'A15.9']",13
mild cognitive impairment,['G31.84'],13
precancerous condition,"['Y95', 'D69.9', 'J94.9', 'L53.9', 'G47.01', 'G47.14', 'P28.9']",13
ovarian neoplasms,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",13
acute myelogenous leukemia,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",13
diffuse large b-cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",13
rectal cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",13
autism,['Z13.41'],13
posttraumatic stress disorder,"['F43.10', 'F43.11', 'F43.12']",13
surgery,"['K91.1', 'Z98.84', 'K91.0', 'Z41.1', 'J95.3', 'N52.33', 'O99.844']",13
urinary incontinence,"['N39.492', 'R32', 'R39.81', 'N39.498', 'L24.A2']",13
pulmonary embolism,"['I27.82', 'Z86.711', 'I26.01', 'I26.09', 'I26.90', 'I26.99', 'I26.93']",13
venous thrombosis,"['K64.5', 'I67.6', 'O87.3', 'O22.50', 'O22.51', 'O22.52', 'O22.53']",13
glioblastoma multiforme,"['L51.0', 'L51.8', 'L51.9']",13
post-operative pain,None,13
migraine disorders,"['G43.B1', 'G43.D1', 'G43.B0', 'G43.D0', 'G43.A1', 'G43.411', 'G43.419']",13
common cold,"['J00', 'T48.5X6S', 'T48.5X3S', 'T48.5X4S', 'T48.5X5S', 'T48.5X6A', 'T48.5X6D']",13
"urinary bladder, overactive",['N32.81'],13
"infection, human immunodeficiency virus",['Z21'],13
gingivitis,"['K05.00', 'K05.10', 'K05.01', 'K05.11']",13
sickle cell anemia,None,12
cerebrovascular accident,"['A52.05', 'I67.81', 'I67.89', 'I67.9', 'I67.841', 'I67.858', 'I67.848']",12
mantle cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",12
relapsing-remitting multiple sclerosis,"['G35', 'G93.81', 'K74.1', 'Q85.1', 'G12.21', 'G12.23', 'M34.0']",12
kidney disease,"['I12.9', 'N18.9', 'Q61.9', 'I12.0', 'D63.1', 'N18.1', 'N18.5']",12
recurrent adult acute myeloid leukemia,"['G47.13', 'J01.41', 'K11.22', 'K12.0', 'N96', 'F33.8', 'G03.2']",12
crohn disease,"['K50.90', 'K50.913', 'K50.914', 'K50.911', 'K50.912', 'K50.918', 'K50.919']",12
mesothelioma,"['C45.9', 'C45.0', 'C45.1', 'C45.2', 'C45.7']",12
alcohol abuse,"['F10.10', 'F10.14', 'F10.180', 'F10.181', 'F10.182', 'F10.188', 'F10.19']",12
peripheral neuropathy,['G90.09'],12
chronic plaque psoriasis,"['L40.0', 'L40.4', 'L40.8', 'L40.9', 'L40.1', 'L40.50']",12
gastroesophageal reflux,"['K21.9', 'K21.00', 'K21.01']",12
coronary heart disease,"['I25.10', 'I25.110', 'I25.112', 'I25.119', 'I25.111', 'I25.118']",12
advanced cancer,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",12
nasal polyps,None,12
bipolar i disorder,"['F31.70', 'F31.71', 'F31.72', 'F31.73', 'F31.74', 'F31.75', 'F31.76']",12
"colitis, ulcerative","['K51.80', 'K51.813', 'K51.814', 'K51.90', 'K51.913', 'K51.914', 'K51.811']",12
sleep disorders,"['G47.9', 'G47.21', 'G47.22', 'G47.23', 'G47.52', 'G47.29', 'G47.20']",12
non-squamous non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",12
colonoscopy,None,12
anxiety,"['F41.1', 'F41.9', 'F40.8', 'F40.9', 'F41.3', 'F41.8', 'F43.22']",12
anesthesia,"['R20.0', 'T88.51XS', 'J95.4', 'T88.2XXS', 'T88.51XA', 'T88.51XD', 'T88.59XS']",12
chronic hepatitis c infection,"['B00.81', 'B25.1', 'B26.81', 'B58.1', 'K75.4', 'A51.45', 'B17.2']",12
iron deficiency anemia,"['D50.9', 'D50.0', 'D50.8']",12
anaemia,None,12
geographic atrophy,['K14.1'],12
alcohol use disorder,"['F10.94', 'F10.980', 'F10.982', 'F10.988', 'F10.99', 'F10.959', 'F10.96']",12
infection,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",11
adult glioblastoma,None,11
neurotoxicity,"['G92.00', 'G92.01', 'G92.02', 'G92.03', 'G92.04', 'G92.05']",11
recurrent breast carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",11
"lupus erythematosus, systemic","['M32.9', 'M32.0', 'M32.11', 'M32.12', 'M32.13', 'M32.14', 'M32.8']",11
refractory chronic lymphocytic leukemia,"['A87.2', 'K52.832', 'D72.111', 'C91.11', 'C91.12', 'C91.10']",11
seizures,"['G40.89', 'R56.1', 'F44.5', 'G40.501', 'G40.509', 'G40.111', 'G40.119']",11
age-related macular degeneration,"['H35.3130', 'H35.3230', 'H35.3110', 'H35.3120', 'H35.3131', 'H35.3132', 'H35.3190']",11
recurrent prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",11
adenocarcinoma of the prostate,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",11
pneumonia,"['A01.03', 'A02.22', 'A54.84', 'B01.2', 'B06.81', 'B77.81', 'J12.0']",11
uveitis,"['H44.133', 'H44.131', 'H44.132', 'H44.139']",11
congestive heart failure,"['I50.20', 'I50.21', 'I50.22', 'I50.30', 'I50.31', 'I50.32', 'I50.40']",11
thromboembolism,"['O88.22', 'O88.23', 'O88.211', 'O88.212', 'O88.213', 'O88.219']",11
squamous cell carcinoma of the head and neck,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",11
ischemic stroke,"['I25.5', 'H47.013', 'H93.013', 'G45.9', 'H47.011', 'H47.012', 'H47.019']",11
