reason,label
the ec withdrawn the approval becuase of possible conflicts of interests between our institute and supporter (celgene),4
devices currently awaiting software updates,4
no proper participant is found,1
mr-linac temporarily moved off-line,4
the study was terminated due to results in another study (nct00878501),2
no suitable case identified,1
the trial was stopped by the sponsor based on assessment of the clinical data,2
staffing shortages,4
study personnel left institution before study completion,4
no longer viable,4
investigator retired,4
celgene terminated its collaboration agreement with methylgene for the development of mgcd0103. all celgene-sponsored trials with mgcd0103 will be closed,4
not feasible at this time,4
rls global in bankruptcy,4
terminated due to lagging folpoor-up,4
the decision is based on a thorough reassessment of the commercial potential of lixivaptan as a potential best-in-class therapy for patients with adpkd,4
pi decided not to pursue study,4
high drop out rate,1
irb closed,4
study never started/initiated,4
withdrawn in irb,4
"funds for study ended september 30, 2008",4
pending amendment,4
budgetary,4
investigator decided not to pursue,4
end of the study,4
replacing this trial with a new trial,4
pi moved institutions,4
cancelled before active,4
we could not get the irb approval,4
poor data,4
early stopping rule,4
pi changed institution,4
poor ressources,4
manufacturer decided not to proceed with study,4
staff shortages,4
due to financial problems,4
pts. will be captured in core,4
decision by the sponsor,4
internal reasons,4
the foundations of our pilotstudy planning has changed,4
based on program revaluation and in agreement with the co-development partner the sponsor took the decision to terminate this study,4
please see purpose statement bepoor,4
departure of the coordinating investigator from another institution,4
"based on data collected, the combination appeared to be poorly tolearated",3
not enough interest,4
decided to halt and will potentially reopen in the future,4
did not receive irb approval,4
"investigational product had been released in nmpa, sponsor decided to terminate the study aligned with investigator",4
incomplete information,4
principal investigator passed away,4
study was not opened,4
project end after 3 years; prolongation was rejected,4
poor recrual,1
program suspended and divested,4
study terminated because the clinical development programme for adavosertib has been discontinued,4
study device refinement,4
all clinical development programs terminated by sponsor,4
pending dsmb evaluation,4
based on preliminary parent study results,4
due to pandemic challenges and consideration of a different study design in the future,4
deviations,4
inadequate resources,4
strategic reasons of the company,4
pi transferred to another institution and did not take this study with him,4
financial problem,4
product availability due to recall,4
sponsor stopped the study,4
study is replaced by mi-cp198 per cpm,4
company strategy,4
discontinuation of clinical investigation with nms-1116354,4
study was larger than expected and became a burden to faculty and staff resources,4
"despite robust, sustained reductions in poly(gp), no clinical benefit was seen at 24 weeks, and reductions in poly(gp) were not associated with stabilization in functional outcomes. based on these data, wave decided to stop development of wve-004",2
optimization of protocol,4
termination of the study was made after a full review of program data and assessment of the current risk-benefit profile,3
resource constraints,4
key aspects linked to sample management and analysis were not met during feasibility assessment limiting the ability of the study to reach its objectives,4
resources not available,4
study terminated by sponsor (nimh),4
contractual issues,4
neod001 program terminated due to poor clinical benefit,2
irb decision,4
r&d strategy adjustment,4
one of the investigators left the institution,4
sponsor financial has been stopped,4
pi,4
study terminated by the sponsor,4
medication removed from the u.s. market by the the food and drug administration,3
no ec approval obtained,4
treatment standard has changed,4
study closed by institutional review board,4
the sponsor decided to withdraw this study,4
inactive,4
project not initiated,4
terminated at continuing review,4
discontinuation of drug candidates,3
protocol violation,4
"due to reallocation of resources, this study could not be initiated",4
sponsor's considerations,4
relocation of pi,4
pi is leaving the university,4
study was discontinued,4
expired irb,4
pi decided to terminate study,4
the study was terminated after the european medicines agency recommended to suspend the marketing authorisation of raptiva in the european union,4
primary investigator resigned from hospital,4
did not meet the anticipated outcome,2
project terminated,4
the study was terminated based on an interim assessment of immunogenicity,2
withdrawn studies,4
study was not feasible,4
lead investigator moved to a new medical center; study was stopped when he left,4
sponsor could not fund,4
for strategic reasons,4
molecule development was terminated,4
principal investigator medical leave,4
the project was abandoned,4
researcher left university,4
withdrawal of study support,4
data was inconclusive,4
"due to difficuty of erollment and consideration of clinical guideline,the sponsor decided to stop study",1
local regulations,4
no longer required study by fda for nda approval,4
discontinued prematurely by sponsor for strategic reasons,4
sponsor asset acquired by another pharma company who opened their own ind for this compound. first wave bio never started this study in the us or ex-us,4
due to poor folpoor up,1
the study did not meet the primary endpoint,2
the ind was withdrawn,4
sponsor's strategic decision,4
"decision to modify the product under study as a result of feedback regarding subjective feeling during installation procedure. for more info, see brief summary",4
data acquisition not possible anymore,4
strategic,4
corona,4
study drug not available,4
participants were not assigned to an intervention and as such this was not considered a clinical trial,4
data will not inform further development of voxelotor,2
results did not show reason to continue with study,2
"this non-therapeutic study was registered in error. the prs team doesn't delete studies once registered, so they recommended changing the status to withdrawn",4
scans showed no visual difference between affected subjects & healthy volunteers,4
study closed prematurely upon pi's departure from vicc,4
voluntarily terminated due to benefit/risk assessment,2
"not ""applicable clinical trial""",4
postponed to a later date,4
ofatumumab iv trials in ra were prematurely terminated because gsk refocused clinical development of autoimmune indications on the subcutaneous delivery,4
genesearch™ bln assay has been voluntarily withdrawn from the us market,4
principal investigator is deceased,4
"cohort c looked at feasibility of genetics & protein to evaluate risk with a family hx of cancer or associated variant. since few patients show these factors, this approach would not yield sufficient information to make inferences",4
principal investigator moved to another institution,4
project suspended by sponsor,4
pi decided to stop the study,4
key personnel left institution,4
poor effectiveness,2
institutional rdrc dissolved,4
pi requested,4
financial problems,4
"suspended (the ut irb determined that cbd oil is being used as a drug as defined by the fda. therefore, an ind must be obtained for the use of cbd oil in this research study in accordance with fda regulations, 21 cfr 312.)",4
prioritization of other projects,4
due to other phase 3 trial failure to meet primary endpoint,2
pi is no longer here,4
strategy adjustment,4
reactogenicity met study halting criteria,3
primary investigator is no longer a part of the va,4
"azidus, the cro hired for this study by prevent senior has lost the interest to conduct this study",4
the company has decided not to conduct the study,4
the study was not started due to a re-evaluation of the istaroxime development program,4
personnel redeployment,4
study not being pursued,4
delay,4
record owner left institution,4
principal investigator decided not to move forward with the study,4
the study was not opened,4
due to the company's development strategy adjustment ，innovent bioligics decided not to continue the study after consultation with investigators,4
emd serono voluntarily decided to terminate this trial after observing increased ms disease activity in trial 28063 atams [please refer to atams],3
pi deceased,4
poor clinical benefit,2
study was never opened,4
product availability,4
study did not meet primary endpoint,2
overall clinical activity (orr) for oleclumab + durvalumab is minimal across tumor types and does not support further evaluation of this doublet,2
no topics to include,4
fda hold,3
to alpoor assessment of isolated events of seizure during program,4
study closed prematurely,4
termination of study due to sponsor's internal decision,4
changes in departmental staff have led to a cut in research alotments,4
change in research direction,4
delay in the r&d stage,4
"the trial was terminated prematurely on november 1, 2016, due to the emerging clinical profile and the evolving treatment and market landscape for lipid-poorering agents. these indicated that bococizumab was not likely to provide value to patients, physicians, or shareholders. the decision was not based on a recommendation by the independent data monitoring committee to stop the program",4
grant ended,4
pi has left uhn. this study is no longer running at uhn,4
change in standard of care,4
logistical reasons,4
do not access to the drug,4
"this study was discontinued due to an interim analysis in the bn29552 study, which indicated that crenezumab was unlikely to meet its primary endpoint",2
the study was closed early due to competing trials,4
withdrawn during planning stages,4
study was cancelled by sponsor,4
study halted prematurely and will not resume; participants are no longer being examined,4
this sub-study was not done because main study results reached significance,4
two authors changed their jobs,4
unable to obtain irb approval,4
the data did not support study endpoints,2
study was never approved by the irb,4
the entire drug development program for this molecule was sold to another company,4
principal investigator resigned from institution,4
due to organisational changes,4
negative interim analysis,2
site staffing,4
study staff change,4
original investigator for the trial has left,4
change in benefit/risk profile,3
conflict of interest (coi) cannot be managed,4
for organizational reasons,4
trial no longer feasible,4
study was terminated based on results from pivotal adult ahf study crlx030a2301,2
cannot use bioabsorbable scaffold,4
sponsor election,4
study no longer required in current format,4
project development priorities changed,4
decision made by team of investigators,4
ip change hospital,4
no financing,4
terminated due to a distribution issue with the trial medication,4
logistical challenges,4
not approved,4
clinical hold,4
competing trials,4
research group's decision,4
issues with development and supply of infusion system for delivery of imp. prolonged approval process for the clinical study snn0031-004,4
protocol study design was re-done in collaboration with cms,4
protocol redundancy,4
fda approval,4
"study & ide was converted to industry held, as opposed to initial investigator held",4
study was withdrawn,4
difficulty accruing,1
there was no indication that long-term folpoor-up would differ between any of the studies that have evaluated devices within the 410 style matrix,4
new sponsor,4
modifying the clinnicaltrials,4
finally it was decided not to initiate the study due to logistical issues,4
decision of the sponsor,4
not enough study participants,1
insufficient resources available to complete the study,4
pi relocated to another institution,4
this study was withdrawn until the evaluation of the nonclinical rat findings is complete,4
poor study personnel,4
revised study design,4
sangart ceased operations,4
pi withdrawn,4
the investigator decided not to pursue this study,4
"regulatory approval was not obtained for drisapersen, hence biomarin is stopping the development of all exon skipping oligonucleotides in dmd",4
modifying procedure,4
there is no longer a plan to pursue an approval of lampalizumab,4
device for multi coil tms no longer supported,4
protocol violation occurred frequently during the postoperative period,4
change in procedure,4
withdrawal by sponsor,4
"study halted due to poorer success rates than expected, under evaluation, will potentially resume at a later date",2
no sponsor,4
irb application withdrawn,4
study no longer required,4
insufficient functional product engraftment,2
study termination,4
terminated: study halted prematurely and will not resume; participants are no longer being examined or receiving intervention,4
the investigator abandoned the project,4
mtd determined,2
no financial agreement,4
the viability of the study is being analyzed,4
change of sponsor,4
"per pi, this study is not a clinical trial and was inadvertently entered in the system",4
never opened,4
irb expired,4
pi's decision,4
resources no longer available,4
withdrawal of sponsor support,4
no open study,4
pi is leaving ucsd,4
study terminated by pi,4
dendreon was sold and new company decided not to fund study,4
resources did not come to fruition,4
the fda advised of a possible health risk associated with lorcaserin and the drug is being withdrawn,3
insufficient for the fund,4
logistic problems,4
decision of investigator,4
rationale obsolete,4
organisation problem,4
faisability,4
irb disapproval,4
decision to change the study design,4
change in priority of interventional protocols,4
the study stopped early because the study objectives were met,1
current study design couldn't support futher development on this indication,4
poor investigators,1
investigator's decision (departure from institution),4
the termination criteria of the protocol was met during dose escalation,2
to enable development of an enhanced version of the vaccine,4
availability of new and more promising therapeutic agents than expected in the experimentation in question,4
canceled,4
occurrence of a quality issue affecting some of its prostheses,3
the study was terminated folpooring an internal review of the company's current research and development portfolio,4
regulatory strategy,4
protocol withdrawn,4
study location changed,4
trial logistics,4
the sponsor voluntarily recalled sd-101 and terminated the study due to gmp deficiencies identified during an fda inspection at the site of the manufacturer,3
pi decided to end the study,4
resources not secured,4
the study was terminated early by the sponsor,4
study design changed to clinical database only with no research question to be studied,4
the sponsor have not enough money to support this trial,4
this study has been cancelled before initiation due to company's prioritisation decisions linked to resources restrictions,4
portfolio re-prioritization,4
due to overall benefit/risk profile,2
pi's request,4
drug supply no longer available,4
decided not to proceed,4
poor financing,4
osiris decision,4
could not get study started,4
the investigational cases were no longer relevant considering the recent implementation of our current national healthcare system,4
risk to benefit ratio is not acceptable,3
it is not possible to continue the study,4
study will not be conducted,4
competing study,4
study was terminated early for strategic reasons. only part i of the study was completed,4
due to technical issues,4
pi withdrew protocol,4
study was not initiated because it was not approved by kpsc irb,4
as per sponsor,4
replaced by other study,4
discontinuation of all bardoxolone chronic kidney disease programs,4
the study was terminated under the political pressure of the federal security service of the russian federation (fsb) and the russian society of cardiology,4
feasibility pilot was completed,4
closed by chum reb for incomplete documentation of research activities,4
the study is on pause,4
trial never initiated,4
unsuccessful study,4
completion of folpoor-up period,1
intermediate analysis,4
decision to out-license the compound for further development,4
product no longer on the market,4
sanofi ended collaboration with lexicon for sotagliflozin. in china no regulatory pathway to transfer sponsorship during the conduct of ongoing studies,4
the study was terminated due to program discontinuation,4
interim analysis results,2
"study must be registered under the sponsor instead of the site, so we have created a new posting in the sponsor's account",4
due to the pandemic,4
study has been terminated after phase i part on 23 february 2023,4
study did not get started,4
company policy,4
pi decided to withdraw study,4
study on hold,4
terminated [nci decided to terminate abtc consortium due to nci moving in different direction for brain cancer],4
we will update quickly,4
based on interim analysis results,2
regulatory issues,4
sponsor closed study,4
the benefit-risk profile no longer supports continuing the study,3
the study is no longer required,4
failure to meet primary endpoint,2
merck sharp & dohme corp (msd) received exemption from pfda on conduct of post-marketing surveillance (pms) study,4
pandemic situation,4
replaced it with another clinical trial,4
the study was terminated for reasons pertaining to feasibility,4
contract terminated with site management organization,4
change in pi,4
inefficiency,2
homology medicines has discontinued the development of this program,4
replaced by a new study,4
study termination due to negative phase iii of another study product from same technology platform,2
the study was terminated early based on an imbalance in worsening crohn's disease in active treatment groups,3
the study was terminated due to a small number of study participants,1
sponsor has designed another study to replace the current study,4
sponsor halted study,4
study did not meet its primary endpoint,2
the study will be conducted in another research center. the sponsor has changed,4
reclassification by ethics committee,4
investigator no longer at lu,4
novartis discontinued the development of imatinib in pah due to requirement of regulatory authorities for additional data to secure marketing approval in pah,4
study never officially began,4
the benefit to risk balance did not support further treatment with galegenimab (fhtr2163),3
stopped by the sponsor,4
a corporate decision to terminate the study,4
cpp requalification,4
investigator is leaving the university,4
the study was terminated,4
reason unknown,4
the study sponsor was acquired by a company that focuses on chronic wounds,4
modification to clinical development plan,4
loss of support,4
study technique has been declared part of standard care,4
discontinued by investigator,4
p.i. left,4
stopped due to a strategic decision,4
the investigation of this device has been transitioned into a new study by the sponsor. the data generated in this study will not be used to support a marketing application,4
per pi's request,4
indication withdrawn,4
"in a phase ii study in hiv-infected patients there were a number of seizures, although exact causality could not be assessed phase 1 activity was terminated",3
withdrawn from irb,4
withdrawn due to protocol amendment,4
"significant risks (e.g., infection, endothelial cell loss) and high rate of channel plugging associated with product use",3
study never commenced,4
principal investigator departure,4
principal investigator was unable to fulfill his responsibilities,4
inability to accrue,1
commercial decision,4
the sponsor decided to stop the study,4
primary goal not achievable,2
company no longer operational,4
study close-out,4
study was not activated,4
this is not a clinical trial and was inadvertently entered in the system,4
change in sponsor,4
the company is liquidated,4
non-compliance,4
the company currently does not have plans to conduct this study,4
difficulties of recrutment,1
pi moved from hadassah,4
change in practice patterns,4
study was completed at other sites,4
restructuring cell lab,4
withdrawn by industry,4
development of tasquinimod in prostate cancer discontinued,4
program has been put on hold by the sponsor,4
study sites were reconsidered,4
pi's choice,4
study was terminated in anticipation of transfer of ownership to avid radiopharmaceuticals,4
logistic challenges,4
insufficient personnel,4
investigators busy with other projects at the moment,4
poor eligible study participants,1
fda did not require a clinical trial for indication,4
departure of the phd in charge of the study,4
pi is no longer at this university,4
pi sabbatical,4
departure of the project leader,4
imp will not be further developed,4
loe,4
"because of many competing trials using the same mechanism of action, but being further advanced in development",4
the study will not be conducted,4
study redesign,4
sars-cov-2 pandemic,4
trial terminated by sponsor,4
desired primary endpoint was not met,2
suspended pending internal review/direction of the company's focus,4
the study was terminated early by the sponsor on 13 january 2014 due to a decision to modify the drug development plan,4
financial decision,4
pi job change,4
the article is not a clinical trial but is a hospital based randomized comparative study. this was inadvertently uploaded,4
amgen decided to terminate the study early to be able to meet us regulatory timelines fo filing. subjects in treatment were rolled over to the 20140159 study,4
sponsor has designed another study with different endpoint to replace the current study,4
terminée,4
pi moved to different institution,4
university of rostock terminated participation in the study conduct; study sponsorship is moved to centogene ag,4
for technical reasons,4
no substantial anti-tumor activity was observed,2
this study plan has halted and was withdrawn from the irb,4
premature termination of the research folpooring an internal reorganization of the team no longer alpooring the necessary resources to continue the study,4
"the other study was concluded as planned upon reaching its predetermined endpoint, which included the completion of data collection and achievement of the necessary sample size for statistical significance",4
modification of the device,4
study irb approval expired,4
investigational device changes,4
reformulation,4
no started,4
poor clarity regarding the pms study requirement from the ra and ethics committee hence it was concluded gsk will submit local psurs,4
principal investigator (dr. sporn) left the sponsoring institution,4
the study is not relevant anymore,4
toxic epidermal necrolysis,3
sponsor and investigator's decision,4
due to company resource constraints,4
the clinical phase of the study (from fsfv to lslv) was never initiated due to the sponsor's decision,4
the pandemic caused a rising tide phenomenon on our primary outcomes 1) delirium detection (increased by visit reduction & masked staff) and 2) admission duration (increased by reorganizations & quarantines 'impact on being discharged),4
company closure,4
the study is completed,4
the study terminated on 10-dec-2007. pfizer's decision to terminate the program was due to cases of injection-site lipoatrophy that were reported in the clinical phase 2 studies after a single injection of pha 794428,4
approval lapse,4
study was completed,4
sufficient number of subjects included for analyzes,1
"the preliminary effectiveness data observed at present did not meet the expectations, the benefit of the subjects receiving the experimental drug was limited",2
the sponsor has decided to terminate this study based on the current clinical research status of dual antibody drugs and full communication with the investigators,4
withdrawn study,4
according to the development of the novel coronavirus epidemic situation and the company's r&d decision,4
limited subjects,1
determined not feasible,4
the supply of msc-ev has been delayed and approval by the ethics committee will take some time,4
the perceived risk-benefit ratio for individuals with early active ra,3
incomplete data,4
reprioritization of indications,4
financing and re-organization,4
discontinuation of program,4
the study was terminated due to a change in gsk's r&d priorities,4
all analysis with identifiable specimens/data is complete or site has no identifiers linked to the specimens/data,4
head of the study has left the institution. study never started,4
redesign,4
study terminated prematurely,4
development in prostate cancer indication halted,4
support withdrawn - study continued by nci - see record nct00006981,4
sponsor support withdrawn,4
personnel change,4
amgen decision,4
departure of pi,4
sponsor hold,4
not a clinical trial,4
resources unavailable to continue study folpoor-up,4
difficulty of recrutement,1
to alpoor analysis of data from supplementary non-clinical study,4
replaced with another study,4
insufficient evidence of the clinical effectiveness of cangrelor,2
unable to complete study,4
poor accrural,1
"the u.s. department of health and human services office of human research protections issued an fwa restriction on nyspi research that included a pause of human subjects research as of june 23, 2023",4
pending further development,4
not completed,4
the study is not initiated and we want it to be withdrawn,4
dsmb,4
budget constraints,4
company focus on other projects,4
sponsor strategic decision,4
sponsor determined the data was no longer needed,4
study drug unavailable,4
study cancelled prior to fsi,4
depuy discontinued this product in 4q2009. at the time of this decision depuy reviewed all clinical studies for this product and decided to close this study,4
due to more robust long-term data generated in other active-controlled studies,4
the biological effect seen with natalizumab was not sufficient to warrant further development in ra,2
replaced by another protocol,4
indefinite hold by company,4
higher hemorrhage rates of abciximab in abesst ii trial,3
withdrawn as company has shut down and filed for bankruptcy,4
updating protocol,4
"study was completed, only life long extended folpoor-up phase was discontinued after 12 years",4
insufficient number of eligible subjects,1
myriad has discontinued the development of flurizan,4
the trial protocol was not approved by the regulatory authorities,1
study did not commence,1
trial was never activated,4
"based on the disclosed global research data on the same target drugs, the company has carefully considered and decided to terminate the project to optimize the existing research pipeline",4
change in development plan,4
grant expired,4
pi no longer with the university,1
sufficient data gathered to support conclusion,2
acquired asset,4
change in formulation,4
study design has changed,4
the plan has changed,4
expiration of irb approval,4
poor personnel,4
terminated by pi,4
parallel record under the prime awardee (klein buendel),4
i have changed my center and gone to another center,4
not possible to include participants,1
we at the sunshine coast university hospital are unable to cope with the extra effort/time needed to complete this trial properly,4
duplicated registration,4
lost necessary staff support,4
usaf regulatory concerns,4
loss of interest,4
changing corporate priorities,4
further usability assessment needed,4
not currently pursuing indication,4
unable to obtain a reliable mrs signal,4
unable to execute data sharing agreement with ministry of health,4
study never started as changes to the study structure were determined by the community advisory board overseeing the project prior to study start,4
the software modules were not completed,4
logistics reasons,4
issue with trial administration/conduct,4
competition with other ongoing projects with this population,4
"study withdrawn due to limited personnel, time, resources",4
another study was done instead,4
clinical evaluation plan outdated and obsolete due to altered clinical routine,4
